name,website,type,use,address,area,ownership,Geom,geo_point_2d,latitude,longitude
Vancouver Art Gallery,www.vanartgallery.bc.ca,Museum/Gallery,Museum/Gallery,"750 Hornby St, Vancouver, BC, V6Z 2H7",Downtown,Government,"{""coordinates"": [-123.120932, 49.283158], ""type"": ""Point""}","49.283158, -123.120932",49.283158,-123.120932
Vancouver Holocaust Education Centre,www.vhec.org?,Museum/Gallery,Museum/Gallery,"950 W 41st Av, Vancouver, BC, V5Z 2N7",Oakridge,Privately Owned,"{""coordinates"": [-123.126013, 49.233442], ""type"": ""Point""}","49.233442, -123.126013",49.233442,-123.126013
Wall Centre Plaza,,Community Space,Plaza/Park/Band Shell,"1088 Burrard St, Vancouver, BC, V6Z 2R9",Downtown,Privately Owned,"{""coordinates"": [-123.1265368, 49.2801175], ""type"": ""Point""}","49.2801175, -123.1265368",49.2801175,-123.1265368
Architectural Institute of BC Gallery,www.aibc.ca,Museum/Gallery,Museum/Gallery,"440 Cambie St, Vancouver, BC, V6B 2N5",Downtown,Non-Profit,"{""coordinates"": [-123.1095005, 49.2817199], ""type"": ""Point""}","49.2817199, -123.1095005",49.2817199,-123.1095005
City of Vancouver Archives,www.vancouver.cayour-government/city-of-vancouver-archives.aspx?,Museum/Gallery,Library/Archives,"1150 Chestnut St, Vancouver, BC, V6J 3J9",Kitsilano,City of Vancouver,"{""coordinates"": [-123.142663, 49.276084], ""type"": ""Point""}","49.276084, -123.142663",49.276084,-123.142663
Creekside Park,,Community Space,Plaza/Park/Band Shell,"1455 Quebec St, Vancouver, BC, V6A 3Z7",Downtown,City of Vancouver,"{""coordinates"": [-123.10319, 49.274159], ""type"": ""Point""}","49.274159, -123.10319",49.274159,-123.10319
CSA Space,http://csaspace.blogspot.com/,Museum/Gallery,Museum/Gallery,"2414 Main St, Vancouver, BC, V5T 3E2",Mount Pleasant,Privately Owned,"{""coordinates"": [-123.1006, 49.263699], ""type"": ""Point""}","49.263699, -123.1006",49.263699,-123.1006
Equinox Gallery/ Monte Clark Gallery,www.equinoxgallery.com /  www.monteclarkgallery.com,Museum/Gallery,Museum/Gallery,"3642 Commercial St, Vancouver, BC, V5N 4G2",Kensington-Cedar Cottage,Privately Owned,"{""coordinates"": [-123.06775753, 49.25203747], ""type"": ""Point""}","49.25203747, -123.06775753",49.25203747,-123.06775753
Granville Island/ Vancouver International Children's Festival,,Community Space,Plaza/Park/Band Shell,"1398 Cartwright St, Vancouver, BC, V6H 3R9",Fairview,Government,"{""coordinates"": [-123.134845, 49.269463], ""type"": ""Point""}","49.269463, -123.134845",49.269463,-123.134845
Harrison Galleries,www.harrisongalleries.com,Museum/Gallery,Museum/Gallery,"901 Homer St, Vancouver, BC, V6B 2W6",Downtown,Privately Owned,"{""coordinates"": [-123.1184779, 49.2784569], ""type"": ""Point""}","49.2784569, -123.1184779",49.2784569,-123.1184779
Ian Tan Gallery,www.iantangallery.com?,Museum/Gallery,Museum/Gallery,"2342 Granville St, Vancouver, BC, V6H 3G3",Fairview,Privately Owned,"{""coordinates"": [-123.13825, 49.264989], ""type"": ""Point""}","49.264989, -123.13825",49.264989,-123.13825
Means of Production Garden (MOPPARC),http://moparrc.com/,Other,Garden/Aquarium/Science Centre,"1001 E 6th Ave, Vancouver, BC,",Fairview,Vancouver Park Board/COV,"{""coordinates"": [-123.1265306, 49.2660577], ""type"": ""Point""}","49.2660577, -123.1265306",49.2660577,-123.1265306
Pendulum Gallery,www.pendulumgallery.bc.ca?,Museum/Gallery,Museum/Gallery,"885 W Georgia St, Vancouver, BC, V6C 3E8",Downtown,Privately Owned,"{""coordinates"": [-123.119963, 49.283709], ""type"": ""Point""}","49.283709, -123.119963",49.283709,-123.119963
PNE Amphitheatre,http://www.49st.com/venue/pne-amphitheatre#info,Community Space,Plaza/Park/Band Shell,"2901 E Hastings St, Vancouver, BC, V5K 5J1",Hastings-Sunrise,City of Vancouver,"{""coordinates"": [-123.037295, 49.28416], ""type"": ""Point""}","49.28416, -123.037295",49.28416,-123.037295
Vanier Park/ Bard On the Beach Shakespeare Festival,,Community Space,Plaza/Park/Band Shell,"1000 Chestnut St, Vancouver, BC, V6J 3J9",Kitsilano,City of Vancouver,"{""coordinates"": [-123.1461243, 49.2767769], ""type"": ""Point""}","49.2767769, -123.1461243",49.2767769,-123.1461243
Malaspina Printmakers Gallery,www.malaspinaprintmakers.com?,Museum/Gallery,Museum/Gallery,"1555 Duranleau St, Vancouver, BC, V6H 3S3",Fairview,Government,"{""coordinates"": [-123.135784, 49.271369], ""type"": ""Point""}","49.271369, -123.135784",49.271369,-123.135784
Museum of Vancouver,www.museumofvancouver.ca?,Museum/Gallery,Museum/Gallery,"1100 Chestnut St, Vancouver, BC, V6J 3J9",Kitsilano,City of Vancouver,"{""coordinates"": [-123.144897, 49.276365], ""type"": ""Point""}","49.276365, -123.144897",49.276365,-123.144897
Van Dusen Botanical Garden,http://vandusengarden.org/,Museum/Gallery,Garden/Aquarium/Science Centre,"5251 Oak St, Vancouver, BC, V6M 4H1",Shaughnessy,City of Vancouver,"{""coordinates"": [-123.128627, 49.238472], ""type"": ""Point""}","49.238472, -123.128627",49.238472,-123.128627
Vancouver Community Laboratory,http://vancommunitylab.com/,Studio/Rehearsal,Workshop,"1907 Triumph St, Vancouver, BC, V5L 1K6",Grandview-Woodland,Privately Owned,"{""coordinates"": [-123.0652956, 49.2841727], ""type"": ""Point""}","49.2841727, -123.0652956",49.2841727,-123.0652956
Vanier Park,,Community Space,Plaza/Park/Band Shell,"1000 Chestnut St, Vancouver, BC, V6J 3J9",Kitsilano,City of Vancouver,"{""coordinates"": [-123.146124, 49.276777], ""type"": ""Point""}","49.276777, -123.146124",49.276777,-123.146124
AHVA Gallery,http://gallery.ahva.ubc.ca/about/,Museum/Gallery,Museum/Gallery,"6398 University Blvd, Vancouver, BC,",UBC,Other,"{""coordinates"": [-123.2549451, 49.2639124], ""type"": ""Point""}","49.2639124, -123.2549451",49.2639124,-123.2549451
Eagle Spirit Gallery,www.eaglespiritgallery.com,Museum/Gallery,Museum/Gallery,"1803 Maritime Mews, Vancouver, BC, V6H 3W7",Fairview,Privately Owned,"{""coordinates"": [-123.136077, 49.2710507], ""type"": ""Point""}","49.2710507, -123.136077",49.2710507,-123.136077
Elissa Cristall Galleries,http://cristallgallery.com,Museum/Gallery,Museum/Gallery,"2239 Granville St, Vancouver, BC, V6H 3G1",Fairview,Privately Owned,"{""coordinates"": [-123.1385822, 49.2655257], ""type"": ""Point""}","49.2655257, -123.1385822",49.2655257,-123.1385822
Emily Carr Institute of Art + Design 1612 Gallery,,Museum/Gallery,Museum/Gallery,"1612 W 3rd Av, Vancouver, BC, V6J 1K2",Fairview,Government,"{""coordinates"": [-123.1411548, 49.2688004], ""type"": ""Point""}","49.2688004, -123.1411548",49.2688004,-123.1411548
Grunt Gallery,www.grunt.ca?,Museum/Gallery,Museum/Gallery,"350 E 2nd Av, Vancouver, BC, V5T 4R8",Mount Pleasant,Non-Profit,"{""coordinates"": [-123.09715, 49.26676], ""type"": ""Point""}","49.26676, -123.09715",49.26676,-123.09715
Hastings Mill Store Museum,www.hastings-mill-museum.ca?,Museum/Gallery,Museum/Gallery,"1575 Alma St, Vancouver, BC, V6R 3P3",West Point Grey,City of Vancouver,"{""coordinates"": [-123.185988, 49.272817], ""type"": ""Point""}","49.272817, -123.185988",49.272817,-123.185988
Tracey Lawrence Gallery,,Museum/Gallery,Museum/Gallery,"1531 W 4th Av, Vancouver, BC, V6J 1L6",Fairview,Privately Owned,"{""coordinates"": [-123.139461, 49.267975], ""type"": ""Point""}","49.267975, -123.139461",49.267975,-123.139461
Vancouver Police Museum,www.vancouverpolicemuseum.ca?,Museum/Gallery,Museum/Gallery,"240 E Cordova St, Vancouver, BC, V6A 1L3",Strathcona,City of Vancouver,"{""coordinates"": [-123.0987999, 49.282247], ""type"": ""Point""}","49.282247, -123.0987999",49.282247,-123.0987999
Architectural Institute of BC Gallery,www.aibc.ca,Museum/Gallery,Museum/Gallery,"440 Cambie St, Vancouver, BC, V6B 2N5",Downtown,,"{""coordinates"": [-123.1095005, 49.2817199], ""type"": ""Point""}","49.2817199, -123.1095005",49.2817199,-123.1095005
Artstarts in Schools,www.artstarts.com,Museum/Gallery,Museum/Gallery,"808 Richards St, Vancouver, BC, V6B 3A7",Downtown,Privately Owned,"{""coordinates"": [-123.1179808, 49.2799985], ""type"": ""Point""}","49.2799985, -123.1179808",49.2799985,-123.1179808
Audain Gallery,https://www.sfu.ca/galleries/audain-gallery.html,Museum/Gallery,Museum/Gallery,"149 W Hastings St, Vancouver, BC, V6B 1H4",Downtown,Other,"{""coordinates"": [-123.108715, 49.282395], ""type"": ""Point""}","49.282395, -123.108715",49.282395,-123.108715
Back Gallery Project,http://www.backgalleryproject.com/,Museum/Gallery,Museum/Gallery,"602 E Hastings St, Vancouver, BC, V6A 1R1",Strathcona,Privately Owned,"{""coordinates"": [-123.0913998, 49.2811369], ""type"": ""Point""}","49.2811369, -123.0913998",49.2811369,-123.0913998
Bloedel Conservatory,http://vancouver.ca/parks-recreation-culture/bloedel-conservatory.aspx,Museum/Gallery,Garden/Aquarium/Science Centre,"4600 Cambie St, Vancouver, BC, V5Y 2M5",Riley Park,Vancouver Park Board/COV,"{""coordinates"": [-123.113759, 49.242077], ""type"": ""Point""}","49.242077, -123.113759",49.242077,-123.113759
Doctor Vigari Gallery,www.doctorvigarigallery.com,Museum/Gallery,Museum/Gallery,"1816 Commercial Dr, Vancouver, BC, V5N 4A3",Grandview-Woodland,Privately Owned,"{""coordinates"": [-123.0692806, 49.2683622], ""type"": ""Point""}","49.2683622, -123.0692806",49.2683622,-123.0692806
Elissa Cristall Galleries,http://cristallgallery.com,Museum/Gallery,Museum/Gallery,"2239 Granville St, Vancouver, BC, V6H 3G1",Fairview,Privately Owned,"{""coordinates"": [-123.1385822, 49.2655257], ""type"": ""Point""}","49.2655257, -123.1385822",49.2655257,-123.1385822
Emily Carr Institute of Art + Design 1612 Gallery,,Museum/Gallery,Museum/Gallery,"1612 W 3rd Av, Vancouver, BC, V6J 1K2",Fairview,Government,"{""coordinates"": [-123.1411548, 49.2688004], ""type"": ""Point""}","49.2688004, -123.1411548",49.2688004,-123.1411548
Gallery 295,http://gallery295.com/295/,Museum/Gallery,Museum/Gallery,"295 E 2nd Ave, Vancouver, BC, V5T 1B8",Strathcona,Privately Owned,"{""coordinates"": [-123.0981191, 49.2680645], ""type"": ""Point""}","49.2680645, -123.0981191",49.2680645,-123.0981191
Hatch Art Gallery,http://www.ams.ubc.ca/nest/arts-and-attractions/art-gallery/,Museum/Gallery,Museum/Gallery,"6133 University Blvd, Vancouver, BC, V6T 1Z1",UBC,Non-Profit,"{""coordinates"": [-123.249913, 49.266025], ""type"": ""Point""}","49.266025, -123.249913",49.266025,-123.249913
Haywood Bandstand,,Community Space,Plaza/Park/Band Shell,"1755 Beach Av, Vancouver, BC,",West End,Vancouver Park Board/COV,"{""coordinates"": [-123.141944, 49.285278], ""type"": ""Point""}","49.285278, -123.141944",49.285278,-123.141944
Heffel Gallery Ltd,www.heffel.com,Museum/Gallery,Museum/Gallery,"2247 Granville St, Vancouver, BC, V6H 3G1",Fairview,Privately Owned,"{""coordinates"": [-123.1389124, 49.2654685], ""type"": ""Point""}","49.2654685, -123.1389124",49.2654685,-123.1389124
Make Gallery,http://makeisawesome.com/,Museum/Gallery,Museum/Gallery,"257 E 7th Av, Vancouver, BC, V5T 0B4",Mount Pleasant,Privately Owned,"{""coordinates"": [-123.0992862, 49.2646046], ""type"": ""Point""}","49.2646046, -123.0992862",49.2646046,-123.0992862
Morris and Helen Belkin Art Gallery,http://www.belkin.ubc.ca/,Museum/Gallery,Museum/Gallery,"1825 Main Mall, Vancouver, BC, V6T 1Z2",UBC,Other,"{""coordinates"": [-123.255944, 49.2683878], ""type"": ""Point""}","49.2683878, -123.255944",49.2683878,-123.255944
Ceperley Meadow,,Community Space,Plaza/Park/Band Shell,"Stanley Park, Vancouver, BC",Stanley Park,City of Vancouver,"{""coordinates"": [-123.148518, 49.293772], ""type"": ""Point""}","49.293772, -123.148518",49.293772,-123.148518
Charles H. Scott Gallery,www.chscott.ecuad.ca?,Museum/Gallery,Museum/Gallery,"1399 Johnston St, Vancouver, BC, V6H 2R9",Fairview,Government,"{""coordinates"": [-123.132876, 49.270485], ""type"": ""Point""}","49.270485, -123.132876",49.270485,-123.132876
City of Vancouver Archives,www.vancouver.cayour-government/city-of-vancouver-archives.aspx?,Museum/Gallery,Library/Archives,"1150 Chestnut St, Vancouver, BC, V6J 3J9",Kitsilano,City of Vancouver,"{""coordinates"": [-123.142663, 49.276084], ""type"": ""Point""}","49.276084, -123.142663",49.276084,-123.142663
Eagle Spirit Gallery,www.eaglespiritgallery.com,Museum/Gallery,Museum/Gallery,"1803 Maritime Mews, Vancouver, BC, V6H 3W7",Fairview,Privately Owned,"{""coordinates"": [-123.136077, 49.2710507], ""type"": ""Point""}","49.2710507, -123.136077",49.2710507,-123.136077
Haywood Bandstand,,Community Space,Plaza/Park/Band Shell,"1755 Beach Av, Vancouver, BC,",West End,Vancouver Park Board/COV,"{""coordinates"": [-123.141944, 49.285278], ""type"": ""Point""}","49.285278, -123.141944",49.285278,-123.141944
Jennifer Kostuik Gallery,www.kostuikgallery.com?,Museum/Gallery,Museum/Gallery,"1070 Homer St, Vancouver, BC, V6B 2W9",Downtown,Privately Owned,"{""coordinates"": [-123.1211143, 49.2766268], ""type"": ""Point""}","49.2766268, -123.1211143",49.2766268,-123.1211143
New Leaf Editions,www.newleafeditions.com?,Studio/Rehearsal,Workshop,"1370 Cartwright St, Vancouver, BC, V6H 3R7",Fairview,Privately Owned,"{""coordinates"": [-123.134665, 49.269841], ""type"": ""Point""}","49.269841, -123.134665",49.269841,-123.134665
Skwachàys Lodge Gallery,http://skwachays.com/,Museum/Gallery,Museum/Gallery,"31 W Pender St, Vancouver, BC, V6B 1R3",Downtown,Non-Profit,"{""coordinates"": [-123.106127, 49.280978], ""type"": ""Point""}","49.280978, -123.106127",49.280978,-123.106127
SUM Gallery,http://queerartsfestival.com/about-sum-gallery/,Museum/Gallery,Museum/Gallery,"268 Keefer St, Vancouver, BC, V6A 1X5",Strathcona,Non-Profit,"{""coordinates"": [-123.098127, 49.279234], ""type"": ""Point""}","49.279234, -123.098127",49.279234,-123.098127
UBC Museum of Anthropology,http://moa.ubc.ca/,Museum/Gallery,Museum/Gallery,"6393 NW Marine Dr, Vancouver, BC, V6T 1Z2",UBC,Other,"{""coordinates"": [-123.259174, 49.26907], ""type"": ""Point""}","49.26907, -123.259174",49.26907,-123.259174
Vancouver Police Museum,www.vancouverpolicemuseum.ca?,Museum/Gallery,Museum/Gallery,"240 E Cordova St, Vancouver, BC, V6A 1L3",Strathcona,City of Vancouver,"{""coordinates"": [-123.0987999, 49.282247], ""type"": ""Point""}","49.282247, -123.0987999",49.282247,-123.0987999
Architectural Institute of BC Gallery,www.aibc.ca,Museum/Gallery,Museum/Gallery,"440 Cambie St, Vancouver, BC, V6B 2N5",Downtown,,"{""coordinates"": [-123.1095005, 49.2817199], ""type"": ""Point""}","49.2817199, -123.1095005",49.2817199,-123.1095005
BC Sports Hall of Fame Museum,www.bcsportshalloffame.com,Museum/Gallery,Museum/Gallery,"777 Pacific Blvd S, Vancouver, BC, V6B 4Y8",Downtown,Government,"{""coordinates"": [-123.110438, 49.27619], ""type"": ""Point""}","49.27619, -123.110438",49.27619,-123.110438
Craft Council of British Columbia Gallery,www.craftcouncilbc.ca,Museum/Gallery,Museum/Gallery,"1386 Cartwright St, Vancouver, BC, V6H 3R8",Fairview,Government,"{""coordinates"": [-123.13479, 49.269837], ""type"": ""Point""}","49.269837, -123.13479",49.269837,-123.13479
Dundarave Print Workshop & Gallery,www.dundaraveprintworkshop.com,Museum/Gallery,Museum/Gallery,"1640 Johnston St, Vancouver, BC, V6H 3S2",Fairview,Privately Owned,"{""coordinates"": [-123.1353489, 49.2721848], ""type"": ""Point""}","49.2721848, -123.1353489",49.2721848,-123.1353489
FIELD Contemporary,www.field-contemporary.com,Museum/Gallery,Museum/Gallery,"17 W Broadway, Vancouver, BC, V5Y 1P1",Mount Pleasant,Privately Owned,"{""coordinates"": [-123.1058083, 49.2630895], ""type"": ""Point""}","49.2630895, -123.1058083",49.2630895,-123.1058083
Havana Gallery,www.havanarestaurant.ca,Museum/Gallery,Museum/Gallery,"1212 Commercial Dr, Vancouver, BC, V5L 3X4",Grandview-Woodland,Privately Owned,"{""coordinates"": [-123.069421, 49.273662], ""type"": ""Point""}","49.273662, -123.069421",49.273662,-123.069421
Hot Art Wet City,http://hotartwetcity.com/,Museum/Gallery,Museum/Gallery,"2206 Main St, Vancouver, BC, V5T 3C7",Mount Pleasant,Privately Owned,"{""coordinates"": [-123.1007282, 49.2653981], ""type"": ""Point""}","49.2653981, -123.1007282",49.2653981,-123.1007282
Interurban Gallery,,Museum/Gallery,Museum/Gallery,"1 E Hastings St, Vancouver, BC, V6A 1M9",Downtown,Privately Owned,"{""coordinates"": [-123.1043161, 49.2815282], ""type"": ""Point""}","49.2815282, -123.1043161",49.2815282,-123.1043161
Inuit Gallery of Vancouver,www.inuit.com,Museum/Gallery,Museum/Gallery,"206 Cambie St, Vancouver, BC, V6B 2M9",Downtown,Privately Owned,"{""coordinates"": [-123.1088083, 49.2842455], ""type"": ""Point""}","49.2842455, -123.1088083",49.2842455,-123.1088083
Malaspina Printmakers Gallery,www.malaspinaprintmakers.com?,Museum/Gallery,Museum/Gallery,"1555 Duranleau St, Vancouver, BC, V6H 3S3",Fairview,Government,"{""coordinates"": [-123.135784, 49.271369], ""type"": ""Point""}","49.271369, -123.135784",49.271369,-123.135784
Wall Centre Plaza,,Community Space,Plaza/Park/Band Shell,"1088 Burrard St, Vancouver, BC, V6Z 2R9",Downtown,Privately Owned,"{""coordinates"": [-123.1265368, 49.2801175], ""type"": ""Point""}","49.2801175, -123.1265368",49.2801175,-123.1265368
Art Beatus,www.artbeatus.com,Museum/Gallery,Museum/Gallery,"808 Nelson St, Vancouver, BC, V6Z 2H2",Downtown,Privately Owned,"{""coordinates"": [-123.1249139, 49.2800409], ""type"": ""Point""}","49.2800409, -123.1249139",49.2800409,-123.1249139
Equinox Gallery,www.equinoxgallery.com,Museum/Gallery,Museum/Gallery,"525 Great Northern Way, Vancouver, BC, V5T 1E1",Strathcona,Privately Owned,"{""coordinates"": [-123.09226, 49.267609], ""type"": ""Point""}","49.267609, -123.09226",49.267609,-123.09226
Granville Street/ Entertainment District,,Community Space,Plaza/Park/Band Shell,"Vancouver, BC",Downtown,City of Vancouver,"{""coordinates"": [-123.11966, 49.281457], ""type"": ""Point""}","49.281457, -123.11966",49.281457,-123.11966
Grunt Gallery,www.grunt.ca?,Museum/Gallery,Museum/Gallery,"350 E 2nd Av, Vancouver, BC, V5T 4R8",Mount Pleasant,Non-Profit,"{""coordinates"": [-123.09715, 49.26676], ""type"": ""Point""}","49.26676, -123.09715",49.26676,-123.09715
Interurban Gallery,,Museum/Gallery,Museum/Gallery,"1 E Hastings St, Vancouver, BC, V6A 1M9",Downtown,Privately Owned,"{""coordinates"": [-123.1043161, 49.2815282], ""type"": ""Point""}","49.2815282, -123.1043161",49.2815282,-123.1043161
Little Mountain Gallery,www.littlemountaingallery.com,Museum/Gallery,Museum/Gallery,"195 E 26th Av, Vancouver, BC, V5V 2G8",Riley Park,Privately Owned,"{""coordinates"": [-123.1014023, 49.2480158], ""type"": ""Point""}","49.2480158, -123.1014023",49.2480158,-123.1014023
Marion Scott Gallery,www.marionscottgallery.com,Museum/Gallery,Museum/Gallery,"2423 Granville St, Vancouver, BC, V6H 3G5",Fairview,Privately Owned,"{""coordinates"": [-123.1386272, 49.264079], ""type"": ""Point""}","49.264079, -123.1386272",49.264079,-123.1386272
On Main Gallery,www.onmaingallery.com?,Museum/Gallery,Museum/Gallery,"200 E 20th Av, Vancouver, BC, V5V 1M1",Riley Park,Privately Owned,"{""coordinates"": [-123.10056, 49.252773], ""type"": ""Point""}","49.252773, -123.10056",49.252773,-123.10056
Vancouver Community Laboratory,http://vancommunitylab.com/,Studio/Rehearsal,Workshop,"1907 Triumph St, Vancouver, BC, V5L 1K6",Grandview-Woodland,,"{""coordinates"": [-123.0652956, 49.2841727], ""type"": ""Point""}","49.2841727, -123.0652956",49.2841727,-123.0652956
Art Beatus,www.artbeatus.com,Museum/Gallery,Museum/Gallery,"808 Nelson St, Vancouver, BC, V6Z 2H2",Downtown,Privately Owned,"{""coordinates"": [-123.1249139, 49.2800409], ""type"": ""Point""}","49.2800409, -123.1249139",49.2800409,-123.1249139
Bloedel Conservatory,http://vancouver.ca/parks-recreation-culture/bloedel-conservatory.aspx,Museum/Gallery,Garden/Aquarium/Science Centre,"4600 Cambie St, Vancouver, BC, V5Y 2M5",Riley Park,Park Board/COV,"{""coordinates"": [-123.113759, 49.242077], ""type"": ""Point""}","49.242077, -123.113759",49.242077,-123.113759
Dynamo Arts Association,www.dynamoarts.tumblr.com?,Museum/Gallery,Museum/Gallery,"30 E 6th Ave, Vancouver, BC, V5T 1J4",Mount Pleasant,Privately Owned,"{""coordinates"": [-123.1040486, 49.2653017], ""type"": ""Point""}","49.2653017, -123.1040486",49.2653017,-123.1040486
James Tan Gallery,http://www.jamestan.com/home.htm,Museum/Gallery,Museum/Gallery,"437 Columbia St, Vancouver, BC, V6A 2R9",Downtown,Privately Owned,"{""coordinates"": [-123.1023067, 49.2810853], ""type"": ""Point""}","49.2810853, -123.1023067",49.2810853,-123.1023067
Marion Scott Gallery,www.marionscottgallery.com,Museum/Gallery,Museum/Gallery,"2423 Granville St, Vancouver, BC, V6H 3G5",Fairview,Privately Owned,"{""coordinates"": [-123.1386272, 49.264079], ""type"": ""Point""}","49.264079, -123.1386272",49.264079,-123.1386272
Pendulum Gallery,www.pendulumgallery.bc.ca?,Museum/Gallery,Museum/Gallery,"885 W Georgia St, Vancouver, BC, V6C 3E8",Downtown,Privately Owned,"{""coordinates"": [-123.119963, 49.283709], ""type"": ""Point""}","49.283709, -123.119963",49.283709,-123.119963
Vancouver Contemporary Art Gallery,www.contemporaryartgallery.ca?,Museum/Gallery,Museum/Gallery,"555 Nelson St, Vancouver, BC, V6B 6R5",Downtown,Privately Owned,"{""coordinates"": [-123.121183, 49.278238], ""type"": ""Point""}","49.278238, -123.121183",49.278238,-123.121183
Vancouver Maritime Museum,www.vancouvermaritimemuseum.com,Museum/Gallery,Museum/Gallery,"1905 Ogden Av, Vancouver, BC, V6J 1A3",Kitsilano,City of Vancouver,"{""coordinates"": [-123.147587, 49.277465], ""type"": ""Point""}","49.277465, -123.147587",49.277465,-123.147587
15th Field Artillery Regiment Museum and Archives,www.memorybc.ca/museum-of-15th-field-artillery-regiment,Museum/Gallery,Museum/Gallery,"2025 W 11th Av, Vancouver, BC, V6J 2C7",Kitsilano,Privately Owned,"{""coordinates"": [-123.151123, 49.261938], ""type"": ""Point""}","49.261938, -123.151123",49.261938,-123.151123
Back Gallery Project,http://www.backgalleryproject.com/,Museum/Gallery,Museum/Gallery,"602 E Hastings St, Vancouver, BC, V6A 1R1",Strathcona,Privately Owned,"{""coordinates"": [-123.0913998, 49.2811369], ""type"": ""Point""}","49.2811369, -123.0913998",49.2811369,-123.0913998
Granville Street/ Entertainment District,,Community Space,Plaza/Park/Band Shell,"700 - 1300  Granville St, Vancouver, BC, V6Z 1M7",Downtown,City of Vancouver,"{""coordinates"": [-123.11966, 49.281457], ""type"": ""Point""}","49.281457, -123.11966",49.281457,-123.11966
Museum of Vancouver,www.museumofvancouver.ca?,Museum/Gallery,Museum/Gallery,"1100 Chestnut St, Vancouver, BC, V6J 3J9",Kitsilano,City of Vancouver,"{""coordinates"": [-123.144897, 49.276365], ""type"": ""Point""}","49.276365, -123.144897",49.276365,-123.144897
Rio Theatre,www.riotheatre.ca?,Theatre/Performance,Cinema,"1660 E Broadway, Vancouver, BC, V5N 1W1",Kensington-Cedar Cottage,Privately Owned,"{""coordinates"": [-123.0704852, 49.2620042], ""type"": ""Point""}","49.2620042, -123.0704852",49.2620042,-123.0704852
Science World at Telus World of Science / Creekside Park,www.scienceworld.ca?,Museum/Gallery,Garden/Aquarium/Science Centre,"1455 Quebec St, Vancouver, BC, V6A 3Z7",Downtown,Privately Owned,"{""coordinates"": [-123.103652, 49.2737425], ""type"": ""Point""}","49.2737425, -123.103652",49.2737425,-123.103652
Vancouver Art Gallery Offsite,http://www.vanartgallery.bc.ca/the_exhibitions/public_art.html,Museum/Gallery,Museum/Gallery,"1100 W Georgia St, Vancouver, BC, V6E 0A8",West End,City of Vancouver,"{""coordinates"": [-123.124298, 49.286205], ""type"": ""Point""}","49.286205, -123.124298",49.286205,-123.124298
Western Front - Gallery,www.front.bc.ca?,Museum/Gallery,Museum/Gallery,"303 E 8th Av, Vancouver, BC, V5T 1S1",Mount Pleasant,Privately Owned,"{""coordinates"": [-123.098654, 49.263916], ""type"": ""Point""}","49.263916, -123.098654",49.263916,-123.098654
Audain Gallery,https://www.sfu.ca/galleries/audain-gallery.html,Museum/Gallery,Museum/Gallery,"149 W Hastings St, Vancouver, BC, V6B 1H4",Downtown,Other,"{""coordinates"": [-123.108715, 49.282395], ""type"": ""Point""}","49.282395, -123.108715",49.282395,-123.108715
CBC Outdoor Stage,http://www.cbc.ca,Community Space,Plaza/Park/Band Shell,"700 Hamilton St, Vancouver, BC, V6B 2R5",Downtown,Government,"{""coordinates"": [-123.114669, 49.279299], ""type"": ""Point""}","49.279299, -123.114669",49.279299,-123.114669
Lobby Gallery,http://www.ligi.ubc.ca/LobbyGallery.htm,Museum/Gallery,Museum/Gallery,"6476 NW Marine Dr, Vancouver, BC,",UBC,Other,"{""coordinates"": [-123.259146, 49.267681], ""type"": ""Point""}","49.267681, -123.259146",49.267681,-123.259146
Lumbermen's Arch,,Community Space,Plaza/Park/Band Shell,"Stanley Park, Vancouver, BC",Stanley Park,City of Vancouver,"{""coordinates"": [-123.131707, 49.302981], ""type"": ""Point""}","49.302981, -123.131707",49.302981,-123.131707
Plaza of Nations,www.plazaofnations.com?,Community Space,Plaza/Park/Band Shell,"750 Pacific Blvd, Vancouver, BC, V6B 5E7",Downtown,Privately Owned,"{""coordinates"": [-123.110068, 49.276031], ""type"": ""Point""}","49.276031, -123.110068",49.276031,-123.110068
Semi-Public (221A),http://221a.ca/,Community Space,Plaza/Park/Band Shell,"271 Union St, Vancouver, BC, V6A 2B2",Strathcona,Privately Owned,"{""coordinates"": [-123.0974061, 49.2778745], ""type"": ""Point""}","49.2778745, -123.0974061",49.2778745,-123.0974061
Alliance for Arts and Culture,http://www.allianceforarts.com,Museum/Gallery,Library/Archives,"938 Howe St, Vancouver, BC, V6Z 1N9",Downtown,Privately Owned,"{""coordinates"": [-123.1228359, 49.2803099], ""type"": ""Point""}","49.2803099, -123.1228359",49.2803099,-123.1228359
Arts Club Theatre - Production Centre,,Studio/Rehearsal,Workshop,"1377 Cartwright St, Vancouver, BC, V6H 3R7",Fairview,Government,"{""coordinates"": [-123.1347122, 49.2700047], ""type"": ""Point""}","49.2700047, -123.1347122",49.2700047,-123.1347122
Catriona Jeffries Gallery,www.catrionajeffries.com?,Museum/Gallery,Museum/Gallery,"274 E 1st Av, Vancouver, BC, V5T 1A6",Strathcona,Privately Owned,"{""coordinates"": [-123.0980394, 49.2687198], ""type"": ""Point""}","49.2687198, -123.0980394",49.2687198,-123.0980394
