parent_company,name,postal_code,address,latitude,longitude,stars_fair,stars,review_count,categories,RestaurantsReservations,RestaurantsPriceRange2,NoiseLevel,OutdoorSeating,ByAppointmentOnly,DietaryRestrictions,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
CB&MH Enterprise Ltd,Tom Sushi,V6E 1N2,1175 Davie St,49.2816505,-123.1326617,4.907407407407407,5.0,103,"Japanese, Restaurants, Sushi Bars",False,2.0,u'average',,,,11:30-17:30,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-20:30
Thai Basil Company Ltd,Thai Basil,V5L 3X3,1179 Commercial Drive,49.274167,-123.0698629,3.8484848484848486,4.0,28,"Restaurants, Thai",False,1.0,u'quiet',False,,,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-22:0,12:0-21:30,16:0-21:30
S E A R Enterprise Ltd,Tetsu Sushi Bar,V6G 2L6,775 Denman Street,49.2918295,-123.1352117,4.414772727272728,4.5,83,"Japanese, Sushi Bars, Restaurants",True,2.0,u'quiet',,,,,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0
Dosanko Restaurant Inc,Dosanko,V6A 1G9,566 Powell Street,49.2828319,-123.0919338,3.4722222222222223,3.5,85,"Japanese, Restaurants",True,2.0,u'quiet',,,,0:0-0:0,17:0-20:0,17:0-20:0,17:0-20:0,17:0-20:30,17:0-20:30,
Pallet Coffee Roasters Broadway Inc,Pallet Coffee Roasters,V6J 1Z4,2002 W Broadway,49.2636136705,-123.1508561077,3.4342105263157894,3.5,33,"Food, Coffee & Tea, Coffee Roasteries",,1.0,,,,,7:0-19:0,7:0-19:0,7:0-19:0,7:0-19:0,7:0-19:0,8:0-18:0,8:0-18:0
Quantum Coffee Corporation,Quantum Coffee,V6C 1T1,455 Granville Street,49.2850523,-123.1147477,3.901960784313725,4.0,46,"Restaurants, Food, Coffee & Tea, Cafes",,2.0,u'average',False,,,9:0-17:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,8:0-18:0,9:0-17:0
Aperture Coffee Ltd,Aperture Coffee Bar,V5V 3P7,4124 Main Street,49.2484508,-123.1008973,3.0,3.0,25,"Restaurants, Cafes",,,,,,,8:0-21:30,8:0-21:30,8:0-21:30,8:0-21:30,8:0-21:30,8:0-21:30,8:0-21:30
Yam Yam Foods Ltd,Hime Sushi,V6R 2H9,4490 west 10th avenue,49.2636989,-123.20873059999998,3.0,3.0,44,"Sushi Bars, Restaurants, Japanese",True,2.0,u'average',False,,,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,
Shameful Tiki Room Ltd,The Shameful Tiki Room,V5V 3P9,4362 Main Street,49.2459581833,-123.1009535263,3.983818770226537,4.0,304,"Restaurants, Cocktail Bars, Nightlife, Tiki Bars, Bars, Canadian (New), Beer Bar",True,2.0,u'average',False,,,17:0-0:0,17:0-0:0,17:0-0:0,17:0-0:0,17:0-1:0,17:0-1:0,17:0-0:0
Akaike Enterprises Ltd,Takumi Japanese Restaurant,V6R 2H9,4422 W 10th Avenue,49.2637932,-123.2067658,3.4242424242424243,3.5,28,"Japanese, Restaurants",True,2.0,u'quiet',False,,,,17:30-21:0,17:30-21:0,17:30-21:0,17:30-21:30,17:30-21:30,17:30-21:0
Kosoo Restaurant Ltd,Kosoo Restaurant,V6G 2G5,832 Cardero Street,49.28909470000001,-123.1326326,3.967948717948718,4.0,151,"Restaurants, Asian Fusion, Korean",True,2.0,u'average',,,,0:0-0:0,11:30-2:0,11:30-2:0,16:0-1:0,11:30-3:0,11:30-2:0,11:30-2:0
0902341 BC Ltd,El Camino's,V5V 3M5,3250 Main Street,49.2561784,-123.1010147,3.487113402061856,3.5,189,"Latin American, Mexican, Restaurants",False,2.0,u'average',True,,,0:0-0:0,17:0-23:0,17:0-23:0,16:0-23:0,16:0-0:0,10:0-0:0,10:0-23:0
1105382 BC Ltd,Caffe Cittadella,V5Z 3C2,2310 Ash Street,49.264775,-123.117217,3.9652777777777777,4.0,139,"Food, Coffee & Tea, Bistros, Restaurants",False,2.0,'average',True,,,18:0-18:30,7:0-19:0,7:0-19:0,7:0-19:0,7:0-19:0,8:0-19:0,8:0-18:0
Fortune Lamb Dining Ltd,Fortune Lamb Dining,V5R 5K6,3-3377 Kingsway,49.2329936,-123.03304740000002,3.321428571428572,3.5,9,"Chinese, Restaurants, Seafood",True,,u'average',,,,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0
Cafe Crepe Inc,Cafe Crepe,V6H 3J4,2861 Granville St,49.2601704,-123.1386895,3.0,3.0,44,"Restaurants, Breakfast & Brunch, Creperies",False,2.0,u'average',True,,,,,,,,,
Duhra Enterprises Ltd,Subway,V6C 1X6,541 Granville Street,49.284226462700005,-123.1158038673,2.613636363636364,2.5,17,"Restaurants, Fast Food, Sandwiches",False,1.0,u'quiet',False,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
0783338 BC Ltd,Dylan's,V6P 1R8,561 57th Avenue W,49.2194255,-123.1180213,3.419354838709677,3.5,26,"Restaurants, Breakfast & Brunch, American (Traditional)",False,2.0,'average',True,,,0:0-0:0,9:0-15:0,9:0-15:0,9:0-15:0,9:0-15:0,9:0-15:0,9:0-15:0
Pink Peppercorn Catering Services Inc,Pink Peppercorn Seafood House,V5N 2R6,1485 Kingsway,49.2493907,-123.0736372,3.9596774193548394,4.0,119,"Restaurants, Seafood",True,3.0,u'average',False,,,,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0
(Tondela Myles),Kranky Cafe,V5T 1G5,"228 E 4th Avenue, Suite 216",49.267041,-123.09973870000002,3.8780487804878048,4.0,36,"Cafes, Bakeries, Food, Restaurants, Breakfast & Brunch, Sandwiches, Coffee & Tea",False,1.0,u'average',True,,,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,9:0-15:0,9:0-15:0
Tamaru Shoten Marketing Corp,Suika,V6J 1X6,1626 W Broadway,49.2634105,-123.1416899,3.98868778280543,4.0,437,"Restaurants, Tapas/Small Plates, Sushi Bars, Japanese",True,2.0,u'loud',True,,,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0
Durae Enterprises Ltd,Sushi Ville,V5N 4B2,2068 Commercial Drive,49.2662408,-123.0696654,3.0,3.0,131,"Restaurants, Sushi Bars, Japanese",True,2.0,'average',True,,,11:30-23:0,11:30-23:0,11:30-23:0,11:30-23:0,11:30-0:0,11:30-0:0,11:30-23:0
483629 BC Ltd,Trocadero Pizza & Steak House,V5N 5E5,2411 Nanaimo Street,49.262983,-123.0570193,3.459016393442623,3.5,56,"Greek, Restaurants, Steakhouses, Pizza",True,2.0,u'average',True,,,16:0-22:0,16:0-22:0,11:0-23:0,11:0-23:0,11:0-0:0,16:0-0:0,16:0-22:0
Dutch Wooden Shoe Restaurants Ltd,Dutch Wooden Shoe Cafe,V5Z 2W4,3292 Cambie Street,49.256001700000006,-123.1148994187,3.4752475247524752,3.5,96,"Creperies, Restaurants, Breakfast & Brunch, Cafes, Diners, Modern European",False,2.0,u'average',False,,,8:0-14:30,8:0-14:30,8:0-14:30,8:0-14:30,8:0-14:30,8:0-16:0,8:0-16:0
Olympia Pizza Ltd,Olympia Pizza,V6K 2H5,3205 Broadway W,49.2643345,-123.1760455,3.469135802469136,3.5,76,"Food, Restaurants, Specialty Food, Greek, Pizza",True,2.0,u'average',True,,,11:30-23:0,11:30-23:0,11:30-23:0,11:30-23:0,11:30-23:0,11:30-23:0,11:30-23:0
Stepho's Place Restaurant Ltd,Stepho's Souvlaki Greek Taverna,V6E 1N1,1124 Davie St,49.2806316,-123.1321013,3.0,3.0,555,"Specialty Food, Restaurants, Sandwiches, Greek, Mediterranean, Ethnic Food, Food",False,2.0,u'average',True,,,11:30-23:30,11:30-23:30,11:30-23:30,11:30-23:30,11:30-23:30,11:30-23:30,11:30-23:30
MGI Investments Ltd,La Terrazza,V6B 6J5,1088 Cambie Street,49.2747444489,-123.119038747,3.4786324786324787,3.5,112,"Italian, Wineries, Restaurants, Food, Event Planning & Services, Wine Tasting Room, Arts & Entertainment, Venues & Event Spaces",True,3.0,u'average',True,,,0:0-0:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,
O&K Restaurant Ltd,Golden Ocean Seafood Restaurant,V6M 1Y8,2046 W 41st Avenue,49.2343601354,-123.1533913129,3.473684210526316,3.5,90,"Dim Sum, Restaurants, Seafood, Chinese",True,2.0,u'loud',False,,,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0
T K Tripple Enterprises Ltd,Subway,V5W 2Z9,6191 Fraser Street,49.2284157,-123.0908629,3.0,3.0,7,"Fast Food, Restaurants, Sandwiches",False,1.0,u'quiet',False,,,7:0-0:0,7:0-0:0,7:0-0:0,7:0-0:0,7:0-0:0,8:0-0:0,8:0-0:0
Cactus Cafe Ash Ltd,Cactus Club Cafe,V5Z 1E6,575 Broadway W,49.26337343270001,-123.1171303272,3.48046875,3.5,123,"Restaurants, Nightlife, Gluten-Free, Bars, Canadian (New), Food, Food Delivery Services, Cocktail Bars, American (New)",True,2.0,u'average',True,False,,0:0-0:0,11:0-1:0,11:30-0:0,11:30-0:0,11:30-22:30,11:30-22:30,11:30-22:0
Temaki Sushi Ltd,Temaki Sushi,V6K 2C8,"2156 W Broadway, Suite 2",49.263919,-123.154395,3.963235294117647,4.0,131,"Japanese, Sushi Bars, Restaurants",True,2.0,u'average',False,False,,0:0-0:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,
Pan Pacific Hotels and Resorts America Inc,Oceans 999,V6C 3B5,"Pan Pacific Vancouver, 999 Canada Place, Suite 300",49.2877251,-123.1139605,3.421875,3.5,27,"Buffets, Canadian (New), Restaurants",True,3.0,u'quiet',True,,,17:30-21:30,17:30-21:30,17:30-21:30,17:30-21:30,17:30-21:30,17:30-21:30,17:30-21:30
GNE Food Services Ltd,Congee Noodle King,V5R 5K6,3313 Kingsway,49.2340119,-123.0352551,3.0,3.0,130,"Chinese, Noodles, Food, Restaurants",True,2.0,'loud',False,,,9:0-1:0,9:0-1:0,,9:0-1:0,9:0-2:0,9:0-2:0,9:0-1:0
Sawasdee Thai Restaurant (2006) Ltd,Sawasdee Thai Restaurant,V5V 3P9,4250 Main Street,49.247054,-123.1008276,3.984076433121019,4.0,309,"Seafood, Restaurants, Thai, Salad",True,2.0,u'average',,,,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30
672347 BC Ltd,The Charlatan,V5L 3X8,1447 Commercial Drive,49.2715434,-123.06976840000002,3.483108108108108,3.5,143,"Nightlife, Restaurants, Food, American (Traditional), Breweries, Bars, Pubs",True,2.0,u'average',True,,,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,11:0-2:0,11:0-2:0,11:0-1:0
537271 BC Ltd,Melriches Coffeehouse,V6E 1N3,1244 Davie St,49.2822726,-123.1343617,3.467948717948718,3.5,73,"Coffee & Tea, Food",,1.0,,True,,,,,,,,,
Applause Restaurant Ltd,Applause Japanese Restaurant,V6P 4A8,8269 Oak Street,49.2109326,-123.1305183,3.4789915966386555,3.5,114,"Noodles, Japanese, Restaurants, Sushi Bars",True,2.0,u'average',False,,,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-22:0,11:30-22:0,12:0-21:30
Les Faux Bourgeois Bistro Limited,Les Faux Bourgeois,V5T 2R6,663 E 15th Avenue,49.257281353100005,-123.0897673308,3.988038277511962,4.0,413,"Restaurants, French, Cafes",True,2.0,u'average',False,,,17:30-0:0,17:30-0:0,17:30-0:0,17:30-0:0,17:30-0:0,17:30-0:0,17:0-22:0
Whole Foods Market Canada Inc,Whole Foods Market,V5Z 1C5,510 W 8th Avenue,49.264022,-123.115286,3.489754098360656,3.5,239,"Food, Health Markets, Coffee Roasteries, Coffee & Tea, Juice Bars & Smoothies, Specialty Food, Grocery, Organic Stores",,3.0,,,,,0:0-0:0,7:0-22:0,7:0-22:0,8:0-21:0,9:0-20:0,9:0-20:0,7:0-17:30
Dynasty Seafood Restaurant Ltd,Dynasty Seafood Restaurant,V5Z 4J7,"777 W Broadway, Ste 108",49.2635975,-123.1213494,3.4894514767932487,3.5,232,"Dim Sum, Restaurants, Chinese, Seafood",True,2.0,u'average',False,,,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0
West Coast Poutine Inc,La Belle Patate,V6E 1N4,1215 Davie Street,49.2820547307,-123.1334429224,3.990138067061144,4.0,502,"French, Poutineries, Fast Food, Restaurants, Food",False,1.0,u'average',False,,,11:0-22:0,12:0-17:0,11:0-17:0,11:0-19:0,12:0-22:0,12:0-22:0,
Pacifico Restaurants Inc,Pacifico Pizzeria & Ristorante,V6Z 0A4,970 Smithe Street,49.2817962247,-123.1239832428,3.489406779661017,3.5,231,"Restaurants, Pizza, Italian",True,2.0,u'average',False,,,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0
Extra Mile Hospitality Inc,Romer's Burger Bar,V6J 1M4,1873 W 4th Avenue,49.2680701,-123.1475085,3.492012779552716,3.5,308,"Burgers, Restaurants",True,2.0,u'average',False,,,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-23:0,10:0-23:0,10:0-22:0
Edward Walter Lee (Edward Lee),Symphonie Restaurant,V6E 4G1,"1140 Pender Street W, Suite 120",49.2877928912,-123.1217961386,3.9056603773584895,4.0,48,"Restaurants, Filipino, Sandwiches, Canadian (New), Comfort Food",True,1.0,'average',False,,,6:30-15:30,6:30-15:30,6:30-15:30,6:30-15:30,6:30-15:30,,
Wentworth Restaurants Inc,Tableau Bar Bistro,V6E 0A3,1181 Melville Street,49.287494,-123.1235689,3.977272727272727,4.0,215,"French, Bistros, Restaurants, Bars, Nightlife, Wine Bars",True,2.0,u'average',True,,,11:30-23:0,11:30-23:0,11:30-23:0,11:30-23:0,11:30-0:0,10:30-0:0,10:30-23:0
Anthony Tse Investment Ltd,Vera's Burger Shack,V5T 3G3,2922 Main Street,49.2589048,-123.100842,3.926470588235294,4.0,63,"Fast Food, Restaurants, Burgers",False,2.0,u'average',True,,,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0
0930130 BC Ltd,Gold Train Express,V5R 5L1,3320 Kingsway,49.2333626,-123.0348768,2.525773195876289,2.5,92,"Vietnamese, Restaurants, Asian Fusion",False,1.0,u'average',False,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
0929918 BC Ltd,La Notte Restaurant,V6S 2B9,3307 Dunbar St,49.25722460000001,-123.1853607,3.8958333333333335,4.0,43,"Restaurants, Italian",True,2.0,u'loud',False,,,,,,,,,
Fable Kitchens Ltd,Fable,V6J 1M5,1944 W 4th Avenue,49.2679331,-123.149019,4.489067055393586,4.5,681,"Canadian (New), Restaurants, American (New)",True,2.0,u'average',True,,,0:0-0:0,7:30-20:0,9:0-14:0,17:0-22:0,10:0-22:0,17:0-22:0,10:0-15:0
JK Holdings Ltd,Tim Hortons,V6B 0K4,108 W Pender Street,49.2809646945,-123.1078130932,2.578125,2.5,27,"Donuts, Food, Coffee & Tea",,1.0,,False,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Adonia Enterprise Ltd,Adonia Tea House,V6M 1Y7,2057 41st Avenue W,49.2346884,-123.1536514,3.463768115942029,3.5,64,"Food, Restaurants, Vegetarian, Cafes, Tea Rooms, Coffee & Tea Supplies, Sandwiches",True,2.0,,False,,,0:0-0:0,,11:0-16:30,11:0-16:30,11:0-16:30,11:0-16:30,11:0-16:30
BC Burger Company Inc,Fatburger,V6C 3L6,"200 Burrard Street, Suite 23",49.2876077421,-123.1145369491,3.0,3.0,15,"American (Traditional), Food, Burgers, Restaurants, Fast Food, Food Court",False,2.0,,False,,,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,11:0-18:0,11:0-18:0
CT Broadway Holdings Ltd,Chronic Tacos,V6B 1G1,601 West Cordova Street,49.285625,-123.111955,3.8333333333333335,4.0,25,"Tex-Mex, Restaurants, Tapas/Small Plates, Gluten-Free, Fast Food, Mexican",False,,,True,,,0:0-0:0,10:30-18:0,10:30-18:0,10:30-18:0,10:30-18:0,,
Cathy Pacific International Trade Co Ltd,Great Wall Mongolian BBQ,V6K 2G6,2897 Broadway W,49.2643585,-123.170372,3.4479166666666665,3.5,43,"Restaurants, Mongolian, Chinese, Barbeque, Buffets",True,2.0,u'average',False,,,0:0-0:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
Kadoya Japanese Restaurant Ltd,Kadoya Japanese Restaurant,V6E 1M5,1063 Davie St,49.2802392,-123.1305632,3.487562189054726,3.5,196,"Japanese, Sushi Bars, Restaurants",True,2.0,u'average',False,,,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0
Miral & Arash Enterprises Ltd,Blenz Coffee,V6B 5J3,767 Seymour Street,49.2810814,-123.1188476,3.0,3.0,22,"Coffee & Tea, Food, Sandwiches, Restaurants",,1.0,,True,,,7:0-10:0,7:0-10:0,7:0-10:0,7:0-10:0,7:0-10:0,,
Madeleine (Hornby) Investments Ltd,Faubourg,V6Z 1S2,769 Hornby Street,49.2830902204,-123.1215854752,3.484472049689441,3.5,156,"Macarons, Food, Patisserie/Cake Shop, Bakeries, Coffee & Tea, Specialty Food",,2.0,u'average',True,,,7:0-19:0,7:0-19:0,7:0-19:0,7:0-19:0,8:0-20:0,8:0-20:0,8:0-19:0
(Yuji Nagaya),Sushi By Yuji,V5N 2T7,2252 Kingsway,49.2424827,-123.0598354,3.962121212121212,4.0,127,"Restaurants, Sushi Bars, Japanese",True,2.0,u'average',False,,,,17:30-21:30,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:0
Matchstick Coffee Inc,Matchstick Coffee Roasters,V5T 2R6,639 E 15th Avenue,49.2573026533,-123.0903615826,3.9757281553398056,4.0,201,"Cafes, Food, Coffee & Tea, Restaurants",False,1.0,'average',False,,,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0
Ameri City Enterprises Ltd,The Red Umbrella Cafe,V6G 1W5,1707 Davie Street,49.286402,-123.1403028,3.485632183908046,3.5,169,"Food, Restaurants, Cafes, Sandwiches, Coffee & Tea, Seafood, Breakfast & Brunch",False,2.0,u'average',True,,,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0
Jetra Foods Inc,Samurai Japanese Restaurant,V6E 1N1,1108 Davie Street,49.2805525,-123.1314877,3.490530303030303,3.5,259,"Japanese, Restaurants, Sushi Bars, Asian Fusion",False,2.0,u'average',False,,,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,11:0-23:0
Mimora Holding Inc,PappaRoti,V6G 1C3,1505 Robson Street,49.288895200000006,-123.1311439,3.9795081967213113,4.0,239,"Food, Desserts, Coffee & Tea, Sandwiches, Bakeries, Juice Bars & Smoothies, Restaurants",False,1.0,u'average',True,False,,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,9:0-22:0,9:0-22:0
Boteco Brasil Food Services Inc,Boteco Brasil,V5N 5E6,2545 Nanaimo Street,49.2617624,-123.0567297,3.0,3.0,57,"Restaurants, Brazilian",True,2.0,u'average',True,,,0:0-0:0,,12:0-20:0,12:0-20:0,12:0-22:0,12:0-22:0,12:0-22:0
Westside Grind Coffee Corporation,Blenz Coffee,V6R 1P1,3698 West 4th Avenue,49.2684744,-123.1854976,3.761904761904762,4.0,16,"Cafes, Food, Restaurants, Coffee & Tea, Sandwiches",,1.0,,True,,,7:30-18:0,7:30-18:0,7:30-18:0,7:30-18:0,7:30-18:0,8:30-18:0,8:30-18:0
OKF Holdings Ltd,Tim Hortons,V6C 3J1,490 Hornby Street,49.2861102,-123.1163068,2.6785714285714284,2.5,9,"Fast Food, Coffee & Tea, Ice Cream & Frozen Yogurt, Food, Restaurants",False,,,,,,,,,,,,
1016390 BC Ltd,Tropika On Cambie,V5Z 2V7,2975 Cambie Street,49.2589021,-123.1152998,3.0,3.0,160,"Singaporean, Restaurants, Indonesian, Thai, Malaysian",True,2.0,u'average',False,,,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30
0992621 BC Ltd,Commercial Sushi,V5N 4C1,2575 Commercial Drive,49.261742100000006,-123.0699298,3.0,3.0,53,"Restaurants, Sushi Bars, Japanese, Food",False,2.0,'average',False,,,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-22:0,11:30-22:0,11:30-21:30
CLB Dining Ltd,Pelican Seafood Restaurant,V5L 1T3,1895 Hastings Street E,49.2815811,-123.0661289,3.0,3.0,72,"Restaurants, Chinese, Seafood, Dim Sum",True,2.0,u'loud',False,,,9:30-1:0,9:30-1:0,9:30-1:0,9:30-1:0,9:30-2:0,9:30-2:0,9:30-1:0
1058489 BC Ltd,Momo Sushi,V6B 5C6,1230 Robson Street,49.2862522533,-123.1276925445,3.0,3.0,109,"Japanese, Sushi Bars, Restaurants",True,2.0,'average',False,,,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-23:0,11:30-23:0,11:30-22:30
1058489 BC Ltd,Momo Sushi,V6B 5C6,"375 Water Street, Suite 6",49.2847086495,-123.1104540825,3.487373737373737,3.5,193,"Sushi Bars, Restaurants, Shopping, Shopping Centers",True,2.0,u'average',False,,,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0
LJD Properties Ltd,Dublin Crossing,V5X 0C4,466 SW Marine Drive,49.2094428732,-123.1164346177,3.0,3.0,73,"Bars, Nightlife, Restaurants, Irish, Irish Pub, Pubs",True,2.0,u'average',True,,,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-1:0,11:0-1:0,9:0-23:0
1045915 BC LTD,Nammos Estiatorio,V5V 4E4,3980 Fraser Street,49.2494546,-123.0898053,3.951923076923077,4.0,99,"Breakfast & Brunch, Greek, Restaurants, Tapas/Small Plates",True,2.0,u'average',True,,,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,10:0-0:0,10:0-23:0
Feng Rui Enterprises Inc,Kyuzo Japanese Restaurant,V6M 4J7,"5701 Granville Street, Suite 112",49.2340910614,-123.1401199847,3.0,3.0,24,"Japanese, Restaurants",True,2.0,u'quiet',False,,,17:30-23:0,17:30-23:0,17:30-23:0,17:30-23:0,17:30-23:0,17:30-0:0,17:30-0:0
Kissa Tanto Restaurant Inc,Kissa Tanto,V6A 1T8,263 E Pender Street,49.2806451,-123.0981249,3.978723404255319,4.0,230,"Food, Japanese, Italian, Restaurants",True,3.0,u'average',False,,,,17:30-0:0,17:30-0:0,17:30-0:0,17:30-0:0,17:30-0:0,
PB Restaurant (Fraser) Inc,Penang Bistro,V5V 4E4,3932 Fraser Street,49.2497658,-123.0900825,3.0,3.0,68,"Restaurants, Malaysian",True,2.0,u'average',False,True,,11:30-21:30,,11:30-21:30,11:30-21:30,11:30-22:0,11:30-22:0,11:30-22:0
Fablee Diner Ltd,Fable Diner,V5T 1W1,151 E Broadway,49.2630504,-123.1015035,3.982456140350877,4.0,280,"Restaurants, Breakfast & Brunch, Diners, Canadian (New), Burgers, American (Traditional)",True,2.0,u'average',False,,,0:0-0:0,9:0-21:0,9:0-21:0,9:0-15:0,9:0-14:30,9:0-14:30,9:0-14:30
Kokoro Foods Inc,Kokoro Ramen,V5P 3W2,5695 Victoria Drive,49.2328922712,-123.0657535369,3.48,3.5,120,"Ramen, Japanese, Restaurants",False,2.0,u'average',False,,,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0
Yao & Hua Enterprises Ltd,Jiu Jiang Japanese Restaurant,V6M 4B8,5707 Balsam Street,49.2344941012,-123.1613949314,3.4107142857142856,3.5,23,"Hot Pot, Restaurants, Salad, Japanese",True,2.0,u'average',False,,,0:0-0:0,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30
B G M Pacific Holdings Ltd,Honolulu Coffee,V6M 1Y8,2098 W 41 Avenue,49.2344086533,-123.1548166439,3.921875,4.0,59,"Food, Bakeries, Coffee & Tea, Restaurants, Cafes",False,2.0,u'average',True,,,8:30-17:0,8:30-17:0,9:0-16:0,8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0
Coppersmith Enterprises Ltd,Burger King,V6B 1V8,612 W Pender Street,49.28411,-123.1142664,2.263157894736842,2.0,14,"Fast Food, Burgers, Restaurants",False,1.0,u'average',False,,,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0
Chickpea Food Truck Inc,Chickpea,V5V 3P9,4298 Main Street,49.2466008453,-123.100948167,3.487309644670051,3.5,192,"Vegan, Restaurants, Mediterranean, Food, Food Trucks",False,2.0,u'average',False,,,9:0-23:0,9:0-23:0,9:0-23:0,9:0-23:0,9:0-0:0,9:0-0:0,9:0-23:0
Boiling Point Investments Inc,Boiling Point,V5V 3P7,4148 Main St,49.2482504,-123.1008849,3.470238095238096,3.5,79,"Hot Pot, Comfort Food, Restaurants, Taiwanese",False,2.0,,False,,,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0
Bin 4 Hospitality Ltd,Bin 4 Burger Lounge,V6H 3J7,2996 Granville Street,49.2590704,-123.13847450000002,3.4683544303797467,3.5,74,"Restaurants, Burgers",True,2.0,,True,,,16:0-20:30,16:0-20:30,16:0-20:30,16:0-20:30,16:0-20:30,16:0-20:30,16:0-20:30
EJK Investments Ltd,Tim Hortons,V5M 4T5,"2889 E 12th Avenue, Suite 107",49.2594152068,-123.0447382112,2.357142857142857,2.0,9,"Restaurants, Coffee & Tea, Bakeries, Breakfast & Brunch, Food",,,,True,,,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0
Grace Of India Restaurant Ltd,Grace of India,V5V 3E1,1284 Kingsway,49.2511311,-123.0785381,3.864864864864865,4.0,32,"Indian, Restaurants, Pakistani",True,2.0,u'quiet',False,,,0:0-0:0,17:0-22:0,16:0-22:0,16:0-22:0,11:0-23:0,11:0-23:0,11:0-22:0
0788191 BC Ltd,Italian Kitchen,V6Z 1X9,860 Burrard St,49.2825685,-123.1236112,3.4955436720142603,3.5,556,"Restaurants, Modern European, Italian, Bars, Wine Bars, Nightlife, Comfort Food, Breakfast & Brunch, Cocktail Bars, Food",True,3.0,u'average',True,False,,14:30-22:0,11:30-23:0,11:30-23:0,11:30-23:0,11:30-0:0,11:0-0:0,11:0-22:0
